product,vendor,edition,morefields
-,canon,*,*
-,intel,*,*
-,qualcomm,*,*
1000_ccu_gms,pacom,*,*
1766-l32awa,rockwellautomation,*,*
1766-l32awaa,rockwellautomation,*,*
1766-l32bwa,rockwellautomation,*,*
1766-l32bwaa,rockwellautomation,*,*
1766-l32bxb,rockwellautomation,*,*
1766-l32bxba,rockwellautomation,*,*
3a081,nxp,*,*
5020_z4a69a,hp,*,*
5030_m2u92b,hp,*,*
5030_z4a70a,hp,*,*
5034_z4a74a,hp,*,*
5660_f8b04a,hp,*,*
a64,allwinner,*,*
a7005a,nxp,*,*
ace_4700_series_application_control_engine_appliance,cisco,*,*
ace_4700_series_application_control_engine_appliance_a1,cisco,*,*
ace_4700_series_application_control_engine_appliance_a3,cisco,*,*
ace_4700_series_application_control_engine_appliance_a4,cisco,*,*
ace_4700_series_application_control_engine_appliance_a5,cisco,*,*
adsl,broadcom,*,*
aironet_active_sensor,cisco,*,*
amg1202-t10b,zyxel,*,*
apq8009,qualcomm,*,*
apq8009w,qualcomm,*,*
apq8016,qualcomm,*,*
apq8017,qualcomm,*,*
apq8030,qualcomm,*,*
apq8037,qualcomm,*,*
apq8039,qualcomm,*,*
apq8052,qualcomm,*,*
apq8053,qualcomm,*,*
apq8056,qualcomm,*,*
apq8060a,qualcomm,*,*
apq8062,qualcomm,*,*
apq8064,qualcomm,*,*
apq8064au,qualcomm,*,*
apq8074,qualcomm,*,*
apq8076,qualcomm,*,*
apq8084,qualcomm,*,*
apq8092,qualcomm,*,*
apq8094,qualcomm,*,*
apq8096au,qualcomm,*,*
apq8098,qualcomm,*,*
aqt1000,qualcomm,*,*
ar6003,qualcomm,*,*
ar8031,qualcomm,*,*
ar8035,qualcomm,*,*
ar8151,qualcomm,*,*
ar9374,qualcomm,*,*
ar9380,qualcomm,*,*
archer_c50,tp-link,*,*
aruba_instant,aruba,*,*
athlon_ii_640_x4,amd,*,*
atom_c,intel,*,*
atom_c2308,intel,*,*
atom_c2316,intel,*,*
atom_c2338,intel,*,*
atom_c2350,intel,*,*
atom_c2358,intel,*,*
atom_c2508,intel,*,*
atom_c2516,intel,*,*
atom_c2518,intel,*,*
atom_c2530,intel,*,*
atom_c2538,intel,*,*
atom_c2550,intel,*,*
atom_c2558,intel,*,*
atom_c2718,intel,*,*
atom_c2730,intel,*,*
atom_c2738,intel,*,*
atom_c2750,intel,*,*
atom_c2758,intel,*,*
atom_c3308,intel,*,*
atom_c3336,intel,*,*
atom_c3338,intel,*,*
atom_c3338r,intel,*,*
atom_c3436l,intel,*,*
