product,vendor,edition,morefields
-,-,*,*
389_directory_server,redhat,*,*
3par_service_provider,hp,*,*
3par_service_provider,hpe,*,*
4690_operating_system,toshiba,*,*
a840_telemetry_gateway_base_station_firmware,adcon,*,*
access_points,cisco,*,*
acrn,linuxfoundation,*,*
acrn,linux,*,*
active_management_technology,intel,*,*
active_management_technology_firmware,intel,*,*
active_opc_server,moxa,*,*
ad_helper_firmware,watchguard,*,*
adaptive_security_appliance_software,cisco,*,*
adsl_router_soc_firmware,realtek,*,*
advanced_core_operating_system,a10networks,*,*
advanced_core_operating_system,a10networks,sp1,*
aff_bios,netapp,*,*
agile_controller-campus,huawei,*,*
aireos,cisco,*,*
aironet_access_point_software,cisco,*,*
aironet_access_points,cisco,*,*
airos,ui,*,*
airport_base_station_firmware,apple,*,*
aix,ibm,*,*
ale_firmware,huawei,*,*
alpine_linux,alpinelinux,*,*
alteon,radware,*,*
amcrest_ipc-hx1x3x-lexus_eng_n_amcrest,amcrest,*,*
amx_firmware,harman,*,*
android,google,*,*
andy_os,andyroid,*,*
antix_linux,antixlinux,*,*
anviz_firmware,anviz,*,*
apc_easy_ups_online_software,schneider-electric,*,*
apk-tools,alpinelinux,*,*
apogee_insight,siemens,*,*
apple_tv,apple,*,*
application_delivery_controller_firmware,citrix,*,*
arch_linux,archlinux,*,*
arm-trusted-firmware,arm,*,*
arm_trusted_firmware,arm_trusted_firmware_project,*,*
armored_card,tecsec,*,*
aruba_airwave_glass,hp,*,*
arubaos,hp,*,*
arubaos,arubanetworks,*,*
asa_1000v_cloud_firewall_software,cisco,*,*
asa_cx_context-aware_security_software,cisco,*,*
asr_5000_series_software,cisco,*,*
asus_firmware,asus,*,*
asuswrt,asus,*,*
asuswrt-merlin,asuswrt-merlin,*,*
asyncos,cisco,*,*
atikmdag.sys,amd,*,*
axis_communications_firmware,axis,*,*
axis_os,axis,*,active
axis_os_2016,axis,*,lts
axis_os_2018,axis,*,lts
axis_os_2020,axis,*,lts
ayaplcel.86a,intel,*,*
azure_devops_server,microsoft,*,*
backbox_linux,backbox,*,*
backhaul_radios,mimosa,*,*
backports,opensuse,*,*
bios,intel,*,*
bnkbl357.86a,intel,*,*
boot2docker,boot2docker,*,-
boot2docker,boot2docker,*,*
box-r1000_firmware,asrock,*,*
camera_firmware,acti,*,*
carrier_routing_system,cisco,*,*
ccsklm30.86a,intel,*,*
ccsklm5v.86a,intel,*,*
cellos,cellopoint,*,*
centos,centos,*,*
centos_web_panel,centos-webpanel,*,pro
centos_web_panel,centos-webpanel,*,free
centos_web_panel,centos-webpanel,*,*
cg-wlbaragm_firmware,corega,*,*
cg-wlbargs_firmware,corega,*,*
cg-wlncm4g_firmware,corega,*,*
chrome_os,google,*,*
cinder,openstack,*,*
circle_with_disney_firmware,meetcircle,*,*
client_radios,mimosa,*,*
clonos,clonos,*,*
clonos,clonos_project,*,*
cloud_foundation,vmware,*,*
cloud_key_gen2,ui,*,*
cloud_key_gen2_plus,ui,*,*
clustered_data_ontap,netapp,*,*
cms,cayintech,*,*
coloros,oppo,*,*
comfortlink_ii_firmware,trane,*,*
communications_messaging_server,oracle,*,*
connected_components_workbench,rockwellautomation,*,free_standard
contiki,contiki-os,*,*
contiki-ng,contiki-ng_project,*,*
contiki-ng,contiki-ng,*,*
contiki-ng.,contiki-ng,*,*
contiki-os,contiki-os,*,*
converged_security_management_engine_firmware,intel,*,*
converged_security_management_engine_firmware,intel,*,-
converged_security_management_engine_firmware,intel,*,iot
cpg_bios,dell,*,*
cpu_ls4000_firmware,swarco,*,*
cryo,cryo_project,*,*
cumulus_linux,cumulusnetworks,*,*
cyberoamos,sophos,*,*
data_domain,emc,*,virtual
data_domain_os,emc,*,*
data_master,asustor,*,*
data_ontap,netapp,*,*
dbutildrv2.sys_firmware,dell,*,*
dc\/os,d2iq,*,*
dd-wrt,dd-wrt,*,*
debian_linux,debian,*,*
dewesoft,dewesoft,*,*
dh-ipc-hx863x,dahua,*,*
dh-ipc-hx883x,dahua,*,*
dh-sd4xxxxx,dahua,*,*
