product,vendor,edition,morefields
-,azure-iot-cli-extension,*,*
.net,microsoft,*,*
.net_agent,newrelic,*,*
.net_cas_client,apereo,*,*
.net_core,microsoft,*,*
.net_education_bundle_sdk_install_tool,microsoft,*,*
.net_forum,jitbit,*,*
.net_framework,microsoft,*,*
.net_framework_developer_pack,microsoft,*,*
.net_install_tool_for_extension_authors,microsoft,*,*
.net_reflector,red-gate,*,*
.netstore,catalooksupport,*,*
\,email\,\,*
\,net\,\,*
\,jifty\,\,*
\,archive\,\,*
\,data\,\,*
\,data\,ip_project,\
\,perl_crypt\,\,*
\,file\,\,*
\,convert\,\,*
\,lwp\,https_project,\
\,soap\,\,*
\,dbd\,\,*
\,xml\,\,*
\,dancer\,simplecrud_project,\
\@backstage\/plugin-techdocs,linuxfoundation,*,*
\@backstage\/techdocs-common,linuxfoundation,*,*
\@irrelon\/path,irrelon,*,*
\@nuxt\/devalue,nuxtjs,*,*
\@thi.ng\/egf,\@thi.ng\/egf_project,*,*
_auditor_website_project,chartered_accountant_\,2.0.1,*
_better_search_project,acf\,*,*
_decorate_home_project,cat_runner\,2.8.0,*
_steelstore_cloud_integrated_storage,netapp,*,*
_wp_live_chat_support,wp-livechat,*,*
010_editor,sweetscape,*,*
1\&1_online_storage,ionos,*,*
1000_guess,1000guess,*,*
101,101_project,*,*
101eip,hundredplus,*,*
1024tools,1024tools,*,*
105_bank,the_hyakugo_bank,*,*
11xiaoli,11xiaoli_project,*,*
13enforme_cms,13enforme,*,*
15.4-stack,ti,*,*
1763-l16awa_series_a,rockwellautomation,*,*
1763-l16awa_series_b,rockwellautomation,*,*
1763-l16bbb_series_a,rockwellautomation,*,*
1763-l16bbb_series_b,rockwellautomation,*,*
1763-l16bwa_series_a,rockwellautomation,*,*
1763-l16bwa_series_b,rockwellautomation,*,*
1763-l16dwd_series_a,rockwellautomation,*,*
1763-l16dwd_series_b,rockwellautomation,*,*
1766-l32awa_series_a,rockwellautomation,*,*
1766-l32awa_series_b,rockwellautomation,*,*
1766-l32awaa_series_a,rockwellautomation,*,*
1766-l32awaa_series_b,rockwellautomation,*,*
1766-l32bwa_series_a,rockwellautomation,*,*
1766-l32bwa_series_b,rockwellautomation,*,*
1766-l32bwaa_series_a,rockwellautomation,*,*
1766-l32bwaa_series_b,rockwellautomation,*,*
